0.682121 0.583766 0.591364 0.669538 0.592417 0.633969 1 3
0.480005 0.656137 0.301849 0.798902 0.533426 0.633969 1 6
0.479141 0.661767 0.378428 0.497380 0.670923 0.633969 1 8
0.742607 0.242691 0.598708 0.715555 0.199105 0.810781 2 4
0.460863 0.436615 0.418267 0.385396 0.422413 0.613862 2 5
0.226283 0.517733 0.591364 0.469843 0.653671 1.000803 3 8
0.562693 0.653875 0.946918 0.477086 0.554064 0.591364 3 9
0.775250 0.634047 0.741014 0.519977 0.587647 0.702693 3 10
0.905041 0.424027 0.641656 0.809094 0.428836 0.563532 5 9
0.664506 0.506008 0.637807 0.537538 0.522972 0.563532 6 9
0.587788 0.723239 0.378428 0.553141 0.703179 0.478618 7 8
0.505072 0.673849 0.946918 0.473992 0.656615 0.870010 8 9
0.729500 0.801042 0.899880 0.517815 0.681766 0.791717 8 10
0.594209 0.535449 0.651735 0.520257 0.575437 0.691145 9 10
